Name,Sector,Full Time Employees,State,Enterprise Value,Profit Margins,Market Cap,Ask Size,Percentage Increase/Decrease
Intl Flavors & Fragrances,Materials,13668,NY,17949229056,0.088690005,14024170496,800,-14.3044586203909
Intuit Inc.,Information Technology,9400,CA,69987147776,0.22885,71909646336,1000,-12.883818689821
Invesco Ltd.,Financials,8757,GA,10212620288,0.10017,3496787456,1200,-44.5297266190043
IPG Photonics Corp.,Information Technology,5960,MA,6502124032,0.12931,7663105024,900,-16.4722180366529
IQVIA Holdings Inc.,Health Care,67000,NC,37826682880,0.019270001,25591085056,800,-25.2059252356136
Iron Mountain Incorporated,Real Estate,25000,MA,16976397312,0.06273,6310088192,900,-20.5425149119935
J. B. Hunt Transport Services,Industrials,29056,AR,12039944192,0.05361,10525007872,2200,-16.0589688258667
Johnson & Johnson,Health Care,132200,NJ,399689744384,0.2075,390390710272,900,-6.00033497354169
Johnson Controls International,Industrials,104000,N/A,29472657408,0.21798,21058734080,800,-30.8674244054104
Juniper Networks,Information Technology,9419,CA,7268811776,0.07526,7477561344,800,-14.5760307945171
Kellogg Co.,Consumer Staples,31000,MI,30300452864,0.07611,21961719808,800,-5.68020252335674
KeyCorp,Financials,16529,OH,29967560704,0.26135,10105205760,800,-43.8226487120735
Kimberly-Clark,Consumer Staples,40000,TX,54410227712,0.12552,45895520256,900,-5.04741928752909
Kimco Realty,Real Estate,502,NY,9849694208,0.35431,4247248128,1200,-47.7347681452185
Kinder Morgan,Energy,11086,TX,69434228736,0.10306,33289132032,800,-32.1930058764603
KLA-Tencor Corp.,Information Technology,10020,CA,26115876864,0.18257,25680820224,800,-13.8674317186561
Kohl’s Cop,Consumer Discretionary,122000,WI,8052610048,0.034590002,2584845824,900,-61.3468755242189
Kraft Heinz Co,Consumer Staples,37000,PA,62850850816,0.07579,35921801216,3100,-13.5353330714391
Kroger Co.,Consumer Staples,435000,OH,46291632128,0.0135699995,25499297792,800,12.1794915746885
L Brands Inc.,Consumer Discretionary,25500,OH,10817316864,-0.02834,3039097600,1200,-37.1491530551663
Lam Research,Information Technology,11000,CA,35141419008,0.21811001,35500818432,1100,-16.777239600341
Leggett & Platt,Consumer Discretionary,22000,MO,6040437248,0.07024,3671232256,1400,-42.3637308113298
Lennar Corp.,Consumer Discretionary,10106,FL,24422467584,0.08768,15478857728,1200,
Lilly (Eli) & Co.,Health Care,33815,IN,159075663872,0.23967,149856583680,900,6.28486931449814
Lincoln National,Financials,11357,PA,6662715392,0.05134,5779120128,800,-51.6068058650823
LKQ Corporation,Consumer Discretionary,51000,IL,12400396288,0.047420003,7294631936,3200,-39.2438618883131
Lockheed Martin Corp.,Industrials,110000,MD,120195899392,0.10213,106167083008,1100,-13.6104747282327
Loews Corp.,Financials,18605,NY,18192244736,-0.0066000004,8352842752,800,-28.979671800116
Lowe’s Cos.,Consumer Discretionary,200000,NC,106031595520,0.05934,82757509120,1000,-26.6194986872324
LyondellBasell,Materials,19100,TX,32229787648,0.08124,17384833024,900,-41.4932144240097
Macerich,Real Estate,723,CA,6679365632,0.09916,925638976,1000,-67.8783848178589
Marathon Oil Corp.,Energy,2000,TX,9252050944,0.093660004,4426340864,38800,-65.6763160607112
Marathon Petroleum,Energy,60910,OH,59443998720,-0.05441,19194529792,900,-58.6645678122492
Marriott Int’l.,Consumer Discretionary,174000,MD,38850789376,0.23692,26297565184,900,-42.4234951453231
Marsh & McLennan,Financials,76000,NY,64593027072,0.1033,49989373952,800,-18.9941788605674
Martin Marietta Materials,Materials,8846,NC,14129722368,0.13414,10843454464,900,-28.9072335306941
Masco Corp.,Industrials,22000,MI,13115494400,0.19910999,10890444800,900,-22.3329418197641
Mastercard Inc.,Information Technology,18600,NY,276886781952,0.46750998,273458937856,900,-17.191430513381
Mattel Inc.,Consumer Discretionary,24000,CA,5546464256,-0.047399998,2945180928,40700,-31.8520598133317
McCormick & Co.,Consumer Staples,12400,MD,25709232128,0.13126999,21291956224,900,-13.1814505059213
McDonald’s Corp.,Consumer Discretionary,205000,IL,178579193856,0.27948,131579854848,1200,-17.0362200145447
Medtronic plc,Health Care,101013,N/A,146314264576,0.1741,129674854400,800,-19.4861384279852
Mettler Toledo,Health Care,14850,OH,18244890624,0.1865,17159966720,1100,-9.23311944654426
MGM Resorts International,Consumer Discretionary,63000,NV,26807197696,0.24452,6860662272,1300,-57.5459606959248
Microchip Technology,Information Technology,18286,AZ,29326344192,0.12229,20495736832,1000,-28.2154486038738
Micron Technology,Information Technology,37000,ID,48070791168,0.1172,51249713152,1200,-18.3458018958741
Microsoft Corp.,Information Technology,144000,WA,1317165596672,0.33356997,1384281014272,1400,-2.85805058229559
Mid-America Apartments,Real Estate,2476,TN,17533356032,0.2156,12571942912,800,-21.5062396937449
Mohawk Industries,Consumer Discretionary,41800,GA,8704561152,0.0747,5622151680,800,-40.4753607353031
Mylan N.V.,Health Care,35000,N/A,20913655808,0.0014599999,8718260224,4000,-20.9740799865324
"Nasdaq, Inc.",Financials,4361,NY,21097066496,0.15953,17360078848,800,-10.0376856774153
National Oilwell Varco Inc.,Energy,33810,TX,6495025664,-0.95761,4581031424,900,-50.3598350536998
Navient,Financials,5800,DE,90617651200,0.24948,1354885632,3000,-44.0008977189792
NetApp,Information Technology,10500,CA,8084493824,0.18187,9422139392,900,-28.3902352577226
Netflix Inc.,Information Technology,8600,CA,197879644160,0.10428,190989287424,1000,9.59239327450709
Newmont Mining Corporation,Materials,16600,CO,56138821632,0.33657002,50430205952,800,16.0828262971907
News Corp. Class A,Consumer Discretionary,28000,NY,8274941952,-0.01878,5741088768,800,-30.5864780292109
News Corp. Class B,Consumer Discretionary,28000,NY,8427891200,-0.01878,5773880320,2200,-32.4610174056731
Nielsen Holdings,Industrials,46000,NY,13596550144,-0.0733,4687659520,900,-30.024502171595
Nike,Consumer Discretionary,76700,OR,139073028096,0.10462,137526853632,900,-16.9891013488241
Nordstrom,Consumer Discretionary,75000,WA,6653042688,0.03195,2679770368,1000,-51.082249093143
Norfolk Southern Corp.,Industrials,24587,VA,55777857536,0.21892999,43086749696,900,-24.4091920904562
Northern Trust Corp.,Financials,20000,IL,14205362176,0.24549,14994307072,800,-24.4708085382447
Northrop Grumman Corp.,Industrials,90000,VA,69691858944,0.06574,53850071040,1100,-9.92507950077669
Norwegian Cruise Line,Consumer Discretionary,36000,FL,9182829568,0.14395,2385517824,4000,-75.6450603909385
NRG Energy,Utilities,4577,NJ,15159430144,0.45189,8212766208,800,-26.1567581845627
Nucor Corp.,Materials,26800,NC,15633798144,0.0357,12195968000,1800,-30.7319360144649
Nvidia Corporation,Information Technology,13775,CA,173993476096,0.25609,183181049856,1200,4.65978249733963
O’Reilly Automotive,Consumer Discretionary,79778,MO,35129012224,0.13414,29513512960,900,-22.377626005994
Occidental Petroleum,Energy,14400,TX,61883846656,-0.03271,12284811264,2200,-65.9542838990766
Oracle Corp.,Information Technology,136000,CA,192498040832,0.27056,163544662016,1300,-6.51416772040294
PACCAR Inc.,Industrials,27000,WA,30393872384,0.08727,23613155328,1300,-18.4813702711716
Packaging Corporation of America,Materials,15500,IL,10748224512,0.09386,8866578432,800,-15.8978939746221
Parker-Hannifin,Industrials,55610,OH,28053282816,0.09315,19685748736,800,-35.6763711544266
Paychex Inc.,Information Technology,15800,NY,24414660608,0.26981002,24076951552,1000,-25.3327622349037
PayPal,Information Technology,23200,CA,141878804480,0.13836001,150493511680,1000,-10.0640574497108
People's United Financial,Financials,6110,CT,11576851456,0.28561002,4811073536,1400,-26.0615351173079
PepsiCo Inc.,Consumer Staples,267000,NY,212782186496,0.10621,182359638016,900,-8.64020929246594
Perrigo,Health Care,11000,N/A,10040221696,0.03769,7122165248,800,-11.2895346554509
Pfizer Inc.,Health Care,88300,NY,257636581376,0.31169,213639593984,4000,-12.1033277184448
PG&E Corp.,Utilities,23000,CA,32055771136,-0.42591,6087240704,2200,-22.8153311052209
Philip Morris International,Consumer Staples,73500,NY,138929750016,0.25348,111334793216,900,-14.9614981513135
Phillips 66,Energy,14500,TX,46846939136,0.00358,31401302016,800,-44.4153485935909
PNC Financial Services,Financials,50513,PA,107849482240,0.30290002,41763999744,900,-34.8110871530299
PPG Industries,Materials,47600,PA,25997961216,0.0788,20949964800,800,-29.3780059698598
Principal Financial Group,Financials,17601,IA,9210730496,0.07359,9300556800,1400,-42.1267962812217
Procter & Gamble,Consumer Staples,97000,OH,311379296256,0.070879996,279994892288,900,-6.84732624229705
Progressive Corp.,Financials,41571,OH,49099190272,0.09186,44593856512,900,0.042712401188405
Prologis,Real Estate,1712,CA,85105287168,0.45514,64212320256,800,-12.9543264344254
Prudential Financial,Financials,51511,NJ,18612750336,0.0471,21433901056,1400,-42.1139653321506
Public Storage,Real Estate,5900,CA,40694681600,0.51536,30779297792,2200,-9.42988476702876
