Name,Sector,Full Time Employees,State,Enterprise Value,Profit Margins,Market Cap,Ask Size,Percentage Increase/Decrease
Vulcan Materials,Materials,9173,AL,17234690048,0.12531,13296591872,1400,-25.1415025603907
Wal-Mart Stores,Consumer Staples,2200000,AR,423816953856,0.028399998,349395222528,1100,2.9085006478645
Walgreens Boots Alliance,Consumer Staples,232000,IL,78610792448,0.025190001,36141461504,900,-16.7133810670372
Waters Corporation,Health Care,7467,MA,12854291456,0.22767,11454966784,1400,-15.3648652819154
Wec Energy Group Inc,Utilities,7500,WI,41097924608,0.16079001,26793050112,800,-1.75582114698724
Western Digital,Information Technology,61800,CA,18746165248,-0.037,12145607680,1800,-31.4809953011066
Western Union Co,Information Technology,11500,CO,9995350016,0.20639,7999658496,2200,-23.6970482417783
Weyerhaeuser Corp.,Real Estate,9400,WA,19073529856,0.05468,13603335168,900,-37.5460988074539
Whirlpool Corp.,Consumer Discretionary,77000,MI,12648936448,0.04328,6659532800,1400,-35.74496545658
Williams Cos.,Energy,4812,OK,48063000576,0.01712,22577653760,800,-32.9654258037514
Willis Towers Watson,Financials,45000,N/A,30608758784,0.11552,23641079808,900,-13.2484042072834
Wynn Resorts Ltd,Consumer Discretionary,30200,NV,16556679168,0.0186,8548538880,800,-48.2823478072864
Xerox Corp.,Information Technology,26300,CT,5859520000,0.13926,3554277888,1000,-47.4939344115055
Xylem Inc.,Industrials,16000,NY,13462495232,0.07011,11345503232,1000,-17.1590113822934
Zimmer Biomet Holdings,Health Care,19900,IN,32247658496,0.14177,23950309376,1000,-31.509978818531
Zions Bancorp,Financials,9879,UT,8646052864,0.24358,4895897600,2200,-40.7343132574607
Zoetis,Health Care,10600,NJ,67072827392,0.23962,59691442176,1000,-10.4300220991881
