Name,Sector,Full Time Employees,State,Enterprise Value,Profit Margins,Market Cap,Ask Size,Percentage Increase/Decrease
IHS Markit Ltd.,Industrials,15500,,31654694912,0.19735001,26009321472,900,"(-20.0, 5.0]"
Illinois Tool Works,Industrials,45000,IL,57094328320,0.18062999999999999,50415509504,800,"(-20.0, 5.0]"
Illumina Inc,Health Care,7700,CA,44167749632,0.2649,46310879232,800,"(-20.0, 5.0]"
Incyte,Health Care,1456,DE,20165171200,-0.16868,20844748800,900,"(-20.0, 5.0]"
Intel Corp.,Information Technology,110800,CA,267863506944,0.30020002,250568114176,1300,"(-20.0, 5.0]"
Intercontinental Exchange,Financials,6293,GA,59010211840,0.38226002,50202144768,900,"(-20.0, 5.0]"
International Business Machines,Information Technology,352600,NY,167078658048,0.117790006,109361651712,900,"(-20.0, 5.0]"
International Paper,Materials,50000,TN,22424666112,0.029879997999999998,12644127744,1100,"(-45.0, -20.0]"
Interpublic Group,Consumer Discretionary,54300,NY,11188104192,0.07782,6319539200,1800,"(-45.0, -20.0]"
Intl Flavors & Fragrances,Materials,13668,NY,17949229056,0.088690005,14024170496,800,"(-20.0, 5.0]"
Intuit Inc.,Information Technology,9400,CA,69987147776,0.22885,71909646336,1000,"(-20.0, 5.0]"
Invesco Ltd.,Financials,8757,GA,10212620288,0.10017000000000001,3496787456,1200,"(-45.0, -20.0]"
IPG Photonics Corp.,Information Technology,5960,MA,6502124032,0.12930999999999998,7663105024,900,"(-20.0, 5.0]"
IQVIA Holdings Inc.,Health Care,67000,NC,37826682880,0.019270001000000002,25591085056,800,"(-45.0, -20.0]"
Iron Mountain Incorporated,Real Estate,25000,MA,16976397312,0.06273,6310088192,900,"(-45.0, -20.0]"
J. B. Hunt Transport Services,Industrials,29056,AR,12039944192,0.053610000000000005,10525007872,2200,"(-20.0, 5.0]"
Johnson & Johnson,Health Care,132200,NJ,399689744384,0.2075,390390710272,900,"(-20.0, 5.0]"
Johnson Controls International,Industrials,104000,,29472657408,0.21798,21058734080,800,"(-45.0, -20.0]"
Juniper Networks,Information Technology,9419,CA,7268811776,0.07526000000000001,7477561344,800,"(-20.0, 5.0]"
Kellogg Co.,Consumer Staples,31000,MI,30300452864,0.07611,21961719808,800,"(-20.0, 5.0]"
KeyCorp,Financials,16529,OH,29967560704,0.26135,10105205760,800,"(-45.0, -20.0]"
Kimberly-Clark,Consumer Staples,40000,TX,54410227712,0.12552,45895520256,900,"(-20.0, 5.0]"
Kimco Realty,Real Estate,502,NY,9849694208,0.35431,4247248128,1200,"(-70.0, -45.0]"
Kinder Morgan,Energy,11086,TX,69434228736,0.10305999999999998,33289132032,800,"(-45.0, -20.0]"
KLA-Tencor Corp.,Information Technology,10020,CA,26115876864,0.18257,25680820224,800,"(-20.0, 5.0]"
Kohl’s Cop,Consumer Discretionary,122000,WI,8052610048,0.034590002,2584845824,900,"(-70.0, -45.0]"
Kraft Heinz Co,Consumer Staples,37000,PA,62850850816,0.07579,35921801216,3100,"(-20.0, 5.0]"
Kroger Co.,Consumer Staples,435000,OH,46291632128,0.013569999499999999,25499297792,800,"(5.0, 30.0]"
L Brands Inc.,Consumer Discretionary,25500,OH,10817316864,-0.028339999999999997,3039097600,1200,"(-45.0, -20.0]"
Lam Research,Information Technology,11000,CA,35141419008,0.21811001,35500818432,1100,"(-20.0, 5.0]"
Leggett & Platt,Consumer Discretionary,22000,MO,6040437248,0.07024,3671232256,1400,"(-45.0, -20.0]"
Lennar Corp.,Consumer Discretionary,10106,FL,24422467584,0.08768,15478857728,1200,
Lilly (Eli) & Co.,Health Care,33815,IN,159075663872,0.23967,149856583680,900,"(5.0, 30.0]"
Lincoln National,Financials,11357,PA,6662715392,0.05134,5779120128,800,"(-70.0, -45.0]"
LKQ Corporation,Consumer Discretionary,51000,IL,12400396288,0.047420002999999995,7294631936,3200,"(-45.0, -20.0]"
Lockheed Martin Corp.,Industrials,110000,MD,120195899392,0.10213,106167083008,1100,"(-20.0, 5.0]"
Loews Corp.,Financials,18605,NY,18192244736,-0.0066000004,8352842752,800,"(-45.0, -20.0]"
Lowe’s Cos.,Consumer Discretionary,200000,NC,106031595520,0.05934,82757509120,1000,"(-45.0, -20.0]"
LyondellBasell,Materials,19100,TX,32229787648,0.08123999999999999,17384833024,900,"(-45.0, -20.0]"
Macerich,Real Estate,723,CA,6679365632,0.09916,925638976,1000,"(-70.0, -45.0]"
Marathon Oil Corp.,Energy,2000,TX,9252050944,0.093660004,4426340864,38800,"(-70.0, -45.0]"
Marathon Petroleum,Energy,60910,OH,59443998720,-0.05441,19194529792,900,"(-70.0, -45.0]"
Marriott Int’l.,Consumer Discretionary,174000,MD,38850789376,0.23692,26297565184,900,"(-45.0, -20.0]"
Marsh & McLennan,Financials,76000,NY,64593027072,0.1033,49989373952,800,"(-20.0, 5.0]"
Martin Marietta Materials,Materials,8846,NC,14129722368,0.13414,10843454464,900,"(-45.0, -20.0]"
Masco Corp.,Industrials,22000,MI,13115494400,0.19910999,10890444800,900,"(-45.0, -20.0]"
Mastercard Inc.,Information Technology,18600,NY,276886781952,0.46750998,273458937856,900,"(-20.0, 5.0]"
Mattel Inc.,Consumer Discretionary,24000,CA,5546464256,-0.047399998,2945180928,40700,"(-45.0, -20.0]"
McCormick & Co.,Consumer Staples,12400,MD,25709232128,0.13126999,21291956224,900,"(-20.0, 5.0]"
McDonald’s Corp.,Consumer Discretionary,205000,IL,178579193856,0.27948,131579854848,1200,"(-20.0, 5.0]"
Medtronic plc,Health Care,101013,,146314264576,0.1741,129674854400,800,"(-20.0, 5.0]"
Mettler Toledo,Health Care,14850,OH,18244890624,0.1865,17159966720,1100,"(-20.0, 5.0]"
MGM Resorts International,Consumer Discretionary,63000,NV,26807197696,0.24452,6860662272,1300,"(-70.0, -45.0]"
Microchip Technology,Information Technology,18286,AZ,29326344192,0.12229000000000001,20495736832,1000,"(-45.0, -20.0]"
Micron Technology,Information Technology,37000,ID,48070791168,0.1172,51249713152,1200,"(-20.0, 5.0]"
Microsoft Corp.,Information Technology,144000,WA,1317165596672,0.33356997,1384281014272,1400,"(-20.0, 5.0]"
Mid-America Apartments,Real Estate,2476,TN,17533356032,0.2156,12571942912,800,"(-45.0, -20.0]"
Mohawk Industries,Consumer Discretionary,41800,GA,8704561152,0.0747,5622151680,800,"(-45.0, -20.0]"
Mylan N.V.,Health Care,35000,,20913655808,0.0014599999,8718260224,4000,"(-45.0, -20.0]"
"Nasdaq, Inc.",Financials,4361,NY,21097066496,0.15953,17360078848,800,"(-20.0, 5.0]"
National Oilwell Varco Inc.,Energy,33810,TX,6495025664,-0.9576100000000001,4581031424,900,"(-70.0, -45.0]"
Navient,Financials,5800,DE,90617651200,0.24948,1354885632,3000,"(-45.0, -20.0]"
NetApp,Information Technology,10500,CA,8084493824,0.18187,9422139392,900,"(-45.0, -20.0]"
Netflix Inc.,Information Technology,8600,CA,197879644160,0.10428,190989287424,1000,"(5.0, 30.0]"
Newmont Mining Corporation,Materials,16600,CO,56138821632,0.33657002,50430205952,800,"(5.0, 30.0]"
News Corp. Class A,Consumer Discretionary,28000,NY,8274941952,-0.01878,5741088768,800,"(-45.0, -20.0]"
News Corp. Class B,Consumer Discretionary,28000,NY,8427891200,-0.01878,5773880320,2200,"(-45.0, -20.0]"
Nielsen Holdings,Industrials,46000,NY,13596550144,-0.0733,4687659520,900,"(-45.0, -20.0]"
Nike,Consumer Discretionary,76700,OR,139073028096,0.10462,137526853632,900,"(-20.0, 5.0]"
Nordstrom,Consumer Discretionary,75000,WA,6653042688,0.03195,2679770368,1000,"(-70.0, -45.0]"
Norfolk Southern Corp.,Industrials,24587,VA,55777857536,0.21892999,43086749696,900,"(-45.0, -20.0]"
Northern Trust Corp.,Financials,20000,IL,14205362176,0.24549,14994307072,800,"(-45.0, -20.0]"
Northrop Grumman Corp.,Industrials,90000,VA,69691858944,0.06573999999999999,53850071040,1100,"(-20.0, 5.0]"
Norwegian Cruise Line,Consumer Discretionary,36000,FL,9182829568,0.14395,2385517824,4000,"(-95.0, -70.0]"
NRG Energy,Utilities,4577,NJ,15159430144,0.45188999999999996,8212766208,800,"(-45.0, -20.0]"
Nucor Corp.,Materials,26800,NC,15633798144,0.0357,12195968000,1800,"(-45.0, -20.0]"
Nvidia Corporation,Information Technology,13775,CA,173993476096,0.25609,183181049856,1200,"(-20.0, 5.0]"
O’Reilly Automotive,Consumer Discretionary,79778,MO,35129012224,0.13414,29513512960,900,"(-45.0, -20.0]"
Occidental Petroleum,Energy,14400,TX,61883846656,-0.03271,12284811264,2200,"(-70.0, -45.0]"
Oracle Corp.,Information Technology,136000,CA,192498040832,0.27055999999999997,163544662016,1300,"(-20.0, 5.0]"
PACCAR Inc.,Industrials,27000,WA,30393872384,0.08727,23613155328,1300,"(-20.0, 5.0]"
Packaging Corporation of America,Materials,15500,IL,10748224512,0.09386,8866578432,800,"(-20.0, 5.0]"
Parker-Hannifin,Industrials,55610,OH,28053282816,0.09315,19685748736,800,"(-45.0, -20.0]"
Paychex Inc.,Information Technology,15800,NY,24414660608,0.26981002,24076951552,1000,"(-45.0, -20.0]"
PayPal,Information Technology,23200,CA,141878804480,0.13836001,150493511680,1000,"(-20.0, 5.0]"
People’s United Financial,Financials,6110,CT,11576851456,0.28561002,4811073536,1400,"(-45.0, -20.0]"
PepsiCo Inc.,Consumer Staples,267000,NY,212782186496,0.10620999999999998,182359638016,900,"(-20.0, 5.0]"
Perrigo,Health Care,11000,,10040221696,0.037689999999999994,7122165248,800,"(-20.0, 5.0]"
Pfizer Inc.,Health Care,88300,NY,257636581376,0.31169,213639593984,4000,"(-20.0, 5.0]"
PG&E Corp.,Utilities,23000,CA,32055771136,-0.42591,6087240704,2200,"(-45.0, -20.0]"
Philip Morris International,Consumer Staples,73500,NY,138929750016,0.25348000000000004,111334793216,900,"(-20.0, 5.0]"
Phillips 66,Energy,14500,TX,46846939136,0.00358,31401302016,800,"(-45.0, -20.0]"
PNC Financial Services,Financials,50513,PA,107849482240,0.30290002,41763999744,900,"(-45.0, -20.0]"
PPG Industries,Materials,47600,PA,25997961216,0.0788,20949964800,800,"(-45.0, -20.0]"
Principal Financial Group,Financials,17601,IA,9210730496,0.07359,9300556800,1400,"(-45.0, -20.0]"
Procter & Gamble,Consumer Staples,97000,OH,311379296256,0.070879996,279994892288,900,"(-20.0, 5.0]"
Progressive Corp.,Financials,41571,OH,49099190272,0.09186,44593856512,900,"(-20.0, 5.0]"
Prologis,Real Estate,1712,CA,85105287168,0.45514,64212320256,800,"(-20.0, 5.0]"
Prudential Financial,Financials,51511,NJ,18612750336,0.0471,21433901056,1400,"(-45.0, -20.0]"
Public Storage,Real Estate,5900,CA,40694681600,0.51536,30779297792,2200,"(-20.0, 5.0]"
PVH Corp.,Consumer Discretionary,21500,NY,7305710080,0.04211,3012544512,900,"(-70.0, -45.0]"
Qorvo,Information Technology,8100,NC,11847949312,0.110290006,11371835392,1000,"(-45.0, -20.0]"
QUALCOMM Inc.,Information Technology,37000,CA,93851156480,0.16360999999999998,88723234816,1000,"(-20.0, 5.0]"
Quanta Services Inc.,Industrials,40300,TX,6479601664,0.03319,4670017536,1000,"(-45.0, -20.0]"
