Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,61.880001,62.880001,61.810001,62.139999,61.601490,5317400
2019-11-18,62.070000,62.380001,61.709999,61.939999,61.403225,4575400
2019-11-19,62.160000,62.160000,61.099998,61.450001,60.917473,4199200
2019-11-20,61.209999,61.529999,60.680000,61.340000,60.808426,5933300
2019-11-21,61.360001,61.410000,60.459999,60.619999,60.094666,3963200
2019-11-22,60.939999,61.270000,60.410000,60.599998,60.074837,3506800
2019-11-25,60.689999,61.049999,60.560001,60.669998,60.144230,4656800
2019-11-26,60.419998,60.540001,58.939999,59.630001,59.113247,7656500
2019-11-27,59.790001,60.169998,59.250000,60.110001,59.589085,4033800
2019-11-29,59.959999,59.990002,59.450001,59.599998,59.083504,2177900
2019-12-02,59.299999,59.500000,58.459999,59.270000,58.756363,5695000
2019-12-03,58.799999,59.080002,57.730000,58.990002,58.478790,4816600
2019-12-04,59.689999,59.820000,58.650002,58.910000,58.399483,3765700
2019-12-05,59.060001,59.310001,58.470001,59.099998,58.587837,3814800
2019-12-06,59.380001,59.919998,58.590000,58.630001,58.121910,3477200
2019-12-09,58.529999,59.070000,58.310001,58.709999,58.201218,3953500
2019-12-10,58.849998,58.900002,58.250000,58.410000,57.903816,3400800
2019-12-11,58.150002,58.439999,57.759998,58.009998,57.507282,2951000
2019-12-12,58.310001,59.279999,58.139999,58.580002,58.072346,3139800
2019-12-13,58.509998,58.810001,57.689999,57.880001,57.378410,4356400
2019-12-16,58.180000,58.770000,57.779999,57.799999,57.299103,5461500
2019-12-17,57.860001,58.000000,56.759998,57.090000,56.595257,5417500
2019-12-18,57.230000,57.509998,56.930000,57.200001,56.704304,4906100
2019-12-19,57.549999,58.820000,57.340000,57.750000,57.249535,5198900
2019-12-20,58.330002,58.980000,57.759998,58.389999,57.883991,8433100
2019-12-23,58.709999,59.000000,58.419998,58.570000,58.062431,4813200
2019-12-24,58.900002,58.919998,58.279999,58.349998,57.844334,1475400
2019-12-26,58.340000,59.020000,58.299999,58.900002,58.389572,2736100
2019-12-27,58.919998,59.029999,58.380001,59.020000,58.508530,3647600
2019-12-30,59.090000,59.599998,58.810001,58.910000,58.399483,3264500
2019-12-31,58.820000,59.470001,58.810001,58.959999,58.449051,3305100
2020-01-02,59.279999,59.590000,58.700001,59.080002,58.568012,5700500
2020-01-03,58.540001,59.349998,58.180000,59.080002,58.568012,4892300
2020-01-06,59.040001,59.779999,58.480000,59.590000,59.073589,6003300
2020-01-07,59.220001,59.480000,58.619999,59.290001,58.776192,4365700
2020-01-08,56.049999,56.799999,54.910000,55.830002,55.346176,17431800
2020-01-09,55.790001,56.090000,54.619999,54.680000,54.206142,8469600
2020-01-10,54.840000,54.880001,54.060001,54.220001,53.750130,6688000
2020-01-13,54.200001,54.660000,53.980000,54.060001,53.591515,5517800
2020-01-14,54.040001,54.709999,53.820000,54.619999,54.146660,4466800
2020-01-15,54.540001,54.700001,54.080002,54.430000,53.958309,3495600
2020-01-16,54.439999,54.630001,54.180000,54.419998,53.948391,4974700
