Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,42.180000,43.930000,41.730000,43.040001,43.040001,7362600
2019-11-18,43.290001,45.360001,42.799999,44.860001,44.860001,9062500
2019-11-19,45.000000,45.000000,43.810001,44.150002,44.150002,3740700
2019-11-20,44.000000,44.540001,42.770000,43.950001,43.950001,7547700
2019-11-21,44.240002,46.830002,44.099998,46.759998,46.759998,10806900
2019-11-22,46.700001,47.200001,46.230000,46.459999,46.459999,6344600
2019-11-25,46.500000,49.330002,46.470001,48.939999,48.939999,9645800
2019-11-26,48.490002,49.785000,48.169998,49.000000,49.000000,6769300
2019-11-27,49.290001,49.750000,48.799999,49.369999,49.369999,3044300
2019-11-29,49.000000,49.689999,48.650002,48.980000,48.980000,1702300
2019-12-02,49.080002,49.110001,47.169998,47.389999,47.389999,4324500
2019-12-03,46.549999,47.560001,46.080002,47.509998,47.509998,2870100
2019-12-04,47.810001,48.082001,46.939999,47.314999,47.314999,3144800
2019-12-05,47.090000,47.180000,44.049999,45.064999,45.064999,13027800
2019-12-06,45.000000,45.450001,44.169998,45.200001,45.200001,5043100
2019-12-09,45.200001,46.090000,44.880001,45.419998,45.419998,2771000
2019-12-10,45.689999,45.689999,45.070000,45.259998,45.259998,2888300
2019-12-11,45.369999,47.550999,45.279999,47.360001,47.360001,3803000
2019-12-12,47.230000,47.439999,46.470001,46.599998,46.599998,4694700
2019-12-13,46.740002,47.669998,46.599998,46.750000,46.750000,3011700
2019-12-16,47.060001,49.307999,46.980000,47.930000,47.930000,9094200
2019-12-17,48.240002,48.250000,47.220001,47.500000,47.500000,4077800
2019-12-18,47.270000,47.639999,46.849998,47.009998,47.009998,3577200
2019-12-19,46.790001,47.000000,46.020000,46.279999,46.279999,4477700
2019-12-20,46.250000,48.540001,46.220001,47.919998,47.919998,16993300
2019-12-23,47.910000,48.000000,45.259998,45.540001,45.540001,10834700
2019-12-24,45.619999,46.200001,45.610001,45.700001,45.700001,2512000
2019-12-26,45.700001,45.810001,45.009998,45.730000,45.730000,5179100
2019-12-27,45.900002,46.200001,45.169998,45.840000,45.840000,4454600
2019-12-30,45.599998,45.674000,43.049999,43.500000,43.500000,8655100
2019-12-31,43.000000,43.605000,42.776001,43.020000,43.020000,5499600
2020-01-02,43.220001,44.070000,43.165001,43.580002,43.580002,3912100
2020-01-03,42.849998,43.360001,42.233002,43.189999,43.189999,4407200
2020-01-06,42.790001,43.810001,42.380001,43.099998,43.099998,4964600
2020-01-07,43.180000,44.700001,43.029999,44.250000,44.250000,4773500
2020-01-08,44.139999,45.740002,43.869999,45.080002,45.080002,5636300
2020-01-09,45.160000,45.959999,44.520000,45.590000,45.590000,4640800
2020-01-10,45.590000,46.240002,45.360001,46.060001,46.060001,4512000
2020-01-13,46.310001,46.450001,45.130001,46.349998,46.349998,3796300
2020-01-14,46.360001,48.000000,46.259998,47.680000,47.680000,4940500
2020-01-15,47.639999,48.060001,46.840000,47.080002,47.080002,3179900
2020-01-16,47.549999,47.549999,46.110001,46.830002,46.830002,3354500
2020-01-17,47.000000,47.000000,46.020000,46.520000,46.520000,3498700
2020-01-21,46.500000,48.770000,46.360001,47.980000,47.980000,6253100
2020-01-22,48.189999,48.950001,47.320000,47.470001,47.470001,4134700
2020-01-23,47.480000,48.919998,47.099998,48.480000,48.480000,4143100
2020-01-24,48.669998,49.540001,47.619999,48.430000,48.430000,5475100
2020-01-27,46.830002,47.650002,46.130001,47.360001,47.360001,3803000
2020-01-28,47.770000,48.349998,47.459999,48.209999,48.209999,2876600
2020-01-29,47.970001,48.639999,46.360001,46.840000,46.840000,7489400
2020-01-30,46.650002,47.889999,46.500000,47.790001,47.790001,3100600
2020-01-31,47.410000,47.669998,46.480000,47.480000,47.480000,4001500
2020-02-03,47.630001,48.590000,47.320000,47.959999,47.959999,2661700
2020-02-04,48.500000,50.959999,48.110001,50.000000,50.000000,8123600
2020-02-05,50.400002,50.470001,47.700001,48.060001,48.060001,6061900
2020-02-06,48.450001,48.669998,46.830002,47.419998,47.419998,7127500
2020-02-07,49.099998,50.040001,47.580002,49.919998,49.919998,12516200
2020-02-10,50.820000,53.919998,50.330002,53.720001,53.720001,15370400
