Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,26.180000,26.799999,25.955000,26.790001,26.790001,41236200
2019-11-18,26.799999,27.000000,26.299999,26.750000,26.750000,35916100
2019-11-19,26.770000,27.219999,26.610001,27.049999,27.049999,31793500
2019-11-20,27.059999,28.400000,26.945000,28.030001,28.030001,52746600
2019-11-21,28.670000,29.600000,28.500000,29.459999,29.459999,54551400
2019-11-22,29.840000,30.129999,29.209999,29.559999,29.559999,42302900
2019-11-25,28.690001,29.600000,28.379999,29.110001,29.110001,36967500
2019-11-26,29.490000,30.150000,29.360001,29.530001,29.530001,28746600
2019-11-27,29.420000,29.590000,28.879999,29.490000,29.490000,22421400
2019-11-29,29.410000,29.850000,29.250000,29.600000,29.600000,8115100
2019-12-02,29.320000,29.525000,28.700001,28.980000,28.980000,16927100
2019-12-03,28.200001,29.330000,28.150000,29.020000,29.020000,25252400
2019-12-04,29.100000,29.200001,28.700001,29.059999,29.059999,22517600
2019-12-05,28.940001,28.990000,28.180000,28.650000,28.650000,22504300
2019-12-06,28.400000,28.924999,27.799999,27.860001,27.860001,32816100
2019-12-09,27.959999,28.360001,27.680000,27.680000,27.680000,20977300
2019-12-10,27.730000,27.993000,27.605000,27.889999,27.889999,23602700
2019-12-11,27.990000,28.545000,27.850000,28.420000,28.420000,23281700
2019-12-12,28.290001,28.750000,28.190001,28.690001,28.690001,23569900
2019-12-13,28.580000,28.840000,28.270000,28.490000,28.490000,25431600
2019-12-16,29.110001,30.129999,29.100000,30.049999,30.049999,57382500
2019-12-17,30.370001,30.420000,29.530001,29.750000,29.750000,38250700
2019-12-18,29.620001,30.139999,29.340000,30.129999,30.129999,35375100
2019-12-19,29.840000,30.170000,29.530001,29.990000,29.990000,33799700
2019-12-20,30.100000,31.030001,29.850000,30.450001,30.450001,95455100
2019-12-23,30.490000,30.940001,29.830000,30.330000,30.330000,31209100
2019-12-24,30.330000,30.840000,30.110001,30.440001,30.440001,12938600
2019-12-26,30.469999,30.790001,30.030001,30.670000,30.670000,22200800
2019-12-27,30.799999,31.059999,30.170000,30.170000,30.170000,18462200
2019-12-30,30.129999,30.200001,29.350000,29.740000,29.740000,18805900
2019-12-31,29.110001,29.950001,28.900000,29.740000,29.740000,16228400
2020-01-02,29.940001,31.000000,29.790001,30.990000,30.990000,20578900
2020-01-03,30.620001,31.430000,30.480000,31.370001,31.370001,18822700
2020-01-06,31.010000,32.060001,31.000000,31.580000,31.580000,21204700
2020-01-07,31.790001,32.840000,31.360001,32.810001,32.810001,30119600
2020-01-08,32.730000,34.520000,32.459999,33.930000,33.930000,43944400
2020-01-09,34.450001,34.470001,33.220001,33.970001,33.970001,29385500
2020-01-10,34.080002,34.990002,33.834999,34.009998,34.009998,34266400
2020-01-13,34.290001,34.340000,33.549999,34.139999,34.139999,16915800
2020-01-14,34.200001,35.020000,33.919998,34.840000,34.840000,26019000
2020-01-15,34.900002,35.148998,34.509998,35.009998,35.009998,20762200
2020-01-16,35.029999,35.060001,34.180000,34.680000,34.680000,21947800
2020-01-17,34.970001,35.250000,34.650002,35.130001,35.130001,17251200
2020-01-21,35.500000,37.799999,35.410000,37.599998,37.599998,48746700
2020-01-22,37.939999,37.939999,36.919998,37.040001,37.040001,29765200
2020-01-23,36.970001,37.950001,36.724998,37.400002,37.400002,21366000
2020-01-24,37.500000,37.665001,36.250000,36.799999,36.799999,21598000
2020-01-27,35.230000,36.650002,34.189999,36.299999,36.299999,18818000
2020-01-28,37.139999,37.330002,36.040001,37.009998,37.009998,28974000
2020-01-29,36.980000,37.564999,36.799999,36.990002,36.990002,16863000
2020-01-30,36.820000,37.132000,35.950001,36.680000,36.680000,22847000
2020-01-31,37.000000,37.040001,35.689999,36.290001,36.290001,21553700
2020-02-03,36.750000,37.639999,36.529999,37.590000,37.590000,23537300
2020-02-04,37.869999,38.990002,37.259998,38.529999,38.529999,32425900
2020-02-05,38.889999,38.970001,36.735001,36.810001,36.810001,38413300
2020-02-06,37.299999,37.389999,36.730000,37.090000,37.090000,52699300
2020-02-07,39.980000,41.000000,38.860001,40.630001,40.630001,112325800
2020-02-10,40.650002,41.340000,39.959999,40.009998,40.009998,60840800
2020-02-11,40.250000,41.465000,40.049999,41.270000,41.270000,33896000
2020-02-12,41.500000,41.860001,41.064999,41.250000,41.250000,26444900
2020-02-13,40.930000,41.549999,40.000000,40.090000,40.090000,23850900
2020-02-14,40.020000,40.310001,38.700001,39.660000,39.660000,32014200
2020-02-18,39.490002,40.270000,39.450001,40.180000,40.180000,22149300
2020-02-19,40.419998,41.230000,40.115002,41.049999,41.049999,23287300
2020-02-20,41.000000,41.189999,39.849998,40.919998,40.919998,25446400
2020-02-21,40.889999,40.889999,40.049999,40.720001,40.720001,20595500
2020-02-24,38.209999,39.139999,37.750000,38.310001,38.310001,37123200
2020-02-25,38.900002,39.150002,35.500000,35.889999,35.889999,49281600
2020-02-26,35.529999,36.165001,33.889999,34.450001,34.450001,44051400
2020-02-27,32.029999,34.160000,30.670000,32.450001,32.450001,66557200
2020-02-28,31.809999,34.290001,31.000000,33.869999,33.869999,52100200
2020-03-02,34.049999,34.080002,31.740000,32.849998,32.849998,46662000
2020-03-03,34.020000,34.180000,31.900000,33.040001,33.040001,35182400
2020-03-04,33.930000,35.340000,32.279999,34.529999,34.529999,44738600
2020-03-05,33.470001,33.570000,31.969999,32.209999,32.209999,32764500
2020-03-06,31.230000,32.410000,30.450001,31.680000,31.680000,34808700
2020-03-09,28.500000,30.320000,28.150000,28.170000,28.170000,37439200
2020-03-10,29.469999,29.860001,27.000000,28.969999,28.969999,36308300
2020-03-11,27.910000,28.139999,25.610001,26.240000,26.240000,43067800
2020-03-12,23.260000,24.690001,22.110001,22.610001,22.610001,54042000
2020-03-13,24.010000,24.809999,21.129999,22.600000,22.600000,53844400
2020-03-16,20.150000,21.490000,19.100000,20.290001,20.290001,56914000
2020-03-17,20.180000,20.309999,18.010000,18.910000,18.910000,60003900
