Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,15.560000,16.100000,15.540000,15.970000,15.970000,2984000
2019-11-18,15.970000,16.059999,15.680000,15.720000,15.720000,1820700
2019-11-19,15.650000,15.805000,15.535000,15.610000,15.610000,1898800
2019-11-20,15.570000,15.580000,15.270000,15.430000,15.430000,2071200
2019-11-21,15.420000,15.420000,15.055000,15.240000,15.240000,3284600
2019-11-22,15.300000,15.670000,15.270000,15.660000,15.660000,2019100
2019-11-25,15.790000,15.790000,15.480000,15.670000,15.670000,2124000
2019-11-26,15.700000,16.480000,15.580000,16.469999,16.469999,4431300
2019-11-27,17.230000,17.700001,16.980000,17.490000,17.490000,7467100
2019-11-29,17.500000,17.559999,17.160000,17.299999,17.299999,2322500
2019-12-02,17.270000,17.309999,16.830000,16.870001,16.870001,2786400
2019-12-03,16.530001,16.790001,16.400000,16.629999,16.629999,2224800
2019-12-04,16.740000,17.020000,16.639999,17.010000,17.010000,2369300
2019-12-05,17.129999,17.299999,16.930000,17.200001,17.200001,2711100
2019-12-06,17.330000,17.530001,17.240000,17.440001,17.440001,2166600
2019-12-09,17.290001,17.780001,17.270000,17.690001,17.690001,1829600
2019-12-10,17.700001,17.740000,17.549999,17.690001,17.690001,1695800
2019-12-11,17.650000,17.750000,17.490000,17.510000,17.510000,1729300
2019-12-12,17.459999,17.600000,17.250000,17.510000,17.510000,2397000
2019-12-13,17.580000,18.000000,17.510000,17.780001,17.780001,2030100
2019-12-16,17.889999,18.629000,17.840000,18.590000,18.590000,2724200
2019-12-17,18.559999,18.730000,18.440001,18.690001,18.690001,2185500
2019-12-18,18.690001,19.049999,18.559999,19.030001,19.030001,1666400
2019-12-19,19.010000,19.129999,18.892000,19.010000,19.010000,1731300
2019-12-20,19.049999,19.360001,18.930000,19.299999,19.299999,3177700
2019-12-23,19.350000,19.487000,19.260000,19.370001,19.370001,1098800
2019-12-24,19.379999,19.490000,19.299999,19.400000,19.400000,669400
2019-12-26,19.410000,19.606001,19.330000,19.549999,19.549999,856900
2019-12-27,19.600000,19.650000,19.180000,19.250000,19.250000,1271100
2019-12-30,19.139999,19.250000,18.965000,18.990000,18.990000,1793200
2019-12-31,18.990000,19.260000,18.900000,19.180000,19.180000,1982100
2020-01-02,19.350000,19.379999,19.020000,19.240000,19.240000,3372200
2020-01-03,18.990000,19.430000,18.889999,19.270000,19.270000,2711600
2020-01-06,19.000000,19.049999,18.209999,18.370001,18.370001,4200700
2020-01-07,18.340000,18.610001,18.250000,18.590000,18.590000,2613800
2020-01-08,18.670000,18.780001,18.040001,18.160000,18.160000,2479500
2020-01-09,18.170000,18.240000,17.613001,17.780001,17.780001,1925500
2020-01-10,17.760000,17.840000,17.559999,17.770000,17.770000,1123800
2020-01-13,17.799999,18.049999,17.680000,18.040001,18.040001,1518700
2020-01-14,18.090000,18.840000,18.059999,18.760000,18.760000,1999100
2020-01-15,18.709999,19.059999,18.700001,18.900000,18.900000,1344100
2020-01-16,19.049999,19.320000,18.959999,19.020000,19.020000,1426300
2020-01-17,19.190001,19.230000,18.309999,18.370001,18.370001,2270600
2020-01-21,18.320000,18.389999,18.030001,18.090000,18.090000,2157900
2020-01-22,18.090000,18.709999,18.090000,18.309999,18.309999,1450300
2020-01-23,18.200001,18.895000,17.980000,18.780001,18.780001,1684100
2020-01-24,18.879999,18.980000,18.520000,18.610001,18.610001,1607100
2020-01-27,18.020000,18.639999,17.950001,18.450001,18.450001,1236000
2020-01-28,18.559999,18.750000,18.240000,18.680000,18.680000,1284900
2020-01-29,18.799999,19.100000,18.680000,18.680000,18.680000,1239600
2020-01-30,18.600000,18.690001,18.250000,18.549999,18.549999,1176700
2020-01-31,18.490000,18.540001,17.915001,17.959999,17.959999,1339700
2020-02-03,18.070000,18.360001,17.969999,17.980000,17.980000,2482900
2020-02-04,18.290001,18.732000,18.160000,18.420000,18.420000,2277200
2020-02-05,18.620001,18.799999,18.090000,18.500000,18.500000,1661500
2020-02-06,18.629999,18.740000,18.350000,18.400000,18.400000,1479800
2020-02-07,18.459999,18.520000,17.870001,17.969999,17.969999,2154700
2020-02-10,18.129999,18.471001,18.010000,18.150000,18.150000,2540200
2020-02-11,15.260000,15.580000,15.020000,15.120000,15.120000,16126500
2020-02-12,15.260000,15.895000,15.200000,15.450000,15.450000,6487000
2020-02-13,15.450000,15.568000,15.080000,15.130000,15.130000,4984800
2020-02-14,15.150000,15.500000,15.150000,15.450000,15.450000,3637700
2020-02-18,15.350000,15.445000,14.910000,15.000000,15.000000,4694800
2020-02-19,15.000000,15.120000,14.800000,14.960000,14.960000,3276000
2020-02-20,15.000000,15.100000,14.730000,14.940000,14.940000,3033800
2020-02-21,14.860000,15.050000,14.510000,14.570000,14.570000,2993500
2020-02-24,13.980000,14.210000,13.810000,14.140000,14.140000,3689900
2020-02-25,14.280000,14.340000,13.270000,13.460000,13.460000,3230100
2020-02-26,13.590000,13.682000,13.040000,13.040000,13.040000,3369300
2020-02-27,12.720000,13.230000,12.370000,12.550000,12.550000,5848200
2020-02-28,12.190000,12.730000,12.180000,12.480000,12.480000,9194100
2020-03-02,12.550000,12.630000,12.190000,12.490000,12.490000,6345200
2020-03-03,12.520000,12.750000,11.880000,12.200000,12.200000,7170500
2020-03-04,12.410000,12.465000,11.840000,12.390000,12.390000,4389200
2020-03-05,12.020000,12.220000,11.602000,11.730000,11.730000,4598700
2020-03-06,11.330000,11.614000,11.030000,11.140000,11.140000,7530200
2020-03-09,10.310000,10.520000,9.510000,9.910000,9.910000,4275500
2020-03-10,10.310000,10.400000,9.665000,10.290000,10.290000,5025000
2020-03-11,10.030000,10.265000,9.870000,9.990000,9.990000,5597800
2020-03-12,9.230000,9.510000,8.670000,8.750000,8.750000,6572800
2020-03-13,9.150000,9.490000,8.770000,9.480000,9.480000,3825200
2020-03-16,8.280000,9.360000,8.130000,8.330000,8.330000,4276500
2020-03-17,8.580000,9.080000,8.070000,8.960000,8.960000,6926600
2020-03-18,8.390000,8.790000,7.250000,7.390000,7.390000,6420300
2020-03-19,7.290000,8.165000,6.800000,8.010000,8.010000,4965000
2020-03-20,8.010000,8.425000,7.148000,7.230000,7.230000,11032400
2020-03-23,7.150000,7.500000,6.790000,7.140000,7.140000,3339100
2020-03-24,7.460000,8.060000,7.460000,8.010000,8.010000,6613300
2020-03-25,8.180000,8.740000,7.585000,8.240000,8.240000,7212100
2020-03-26,8.320000,8.960000,8.080000,8.760000,8.760000,5614400
2020-03-27,8.400000,8.580000,8.070000,8.320000,8.320000,3230100
2020-03-30,8.250000,8.490000,7.920000,8.410000,8.410000,3147800
2020-03-31,8.360000,8.640000,7.955000,8.060000,8.060000,3075700
2020-04-01,7.660000,7.810000,7.200000,7.450000,7.450000,3456800
2020-04-02,7.320000,7.570000,6.600000,6.890000,6.890000,5159900
2020-04-03,6.850000,7.500000,6.600000,7.480000,7.480000,4134700
2020-04-06,7.920000,8.240000,7.720000,8.000000,8.000000,3686300
2020-04-07,8.620000,8.840000,8.190000,8.390000,8.390000,4331600
2020-04-08,8.550000,8.980000,8.480000,8.640000,8.640000,3001700
2020-04-09,8.970000,9.550000,8.920000,9.350000,9.350000,3784400
2020-04-13,9.290000,9.350000,8.600000,8.730000,8.730000,2989900
2020-04-14,9.080000,9.190000,8.758000,8.970000,8.970000,2363800
